Abarth,706,331,2029,1286
Alfa Romeo,878,1014,3924,4464
Aston Martin,148,144,727,695
Audi,28437,25535,133300,126487
Bentley,152,206,1027,1160
BMW,29713,24891,124309,113520
Chevrolet,1,3,9,2764
Chrysler,2,390,136,1673
Citroen,12496,14270,66338,66542
Dacia,4455,3523,20386,18583
DS,2584,0,4549,0
Fiat,12467,12147,51867,53781
Ford,55083,54322,268328,262754
Honda,10734,9642,43563,44102
Hyundai,15504,14865,70623,65564
Infiniti,106,214,891,591
Jaguar,4860,3173,17966,14627
Jeep,2097,762,8420,2844
Kia,13980,13292,64208,62538
Land Rover,9809,10915,49881,45483
Lexus,2578,2131,10618,8629
Lotus,22,27,263,180
Maserati,232,158,1161,921
Mazda,9917,8066,37923,31373
Mercedes-Benz,27610,23382,116509,99096
MG,511,357,2461,1840
Mini,11095,9996,47182,36584
Mitsubishi,2686,3527,18100,11162
Nissan,28473,22550,124967,106890
Peugeot,16875,17865,84593,85418
Porsche,1910,1022,9559,6483
Renault,15148,12993,59221,50732
Seat,8655,9594,40520,42611
Skoda,11384,10991,60144,60386
Smart,1838,802,6363,4016
Ssangyong,806,363,2681,1215
Subaru,821,617,2734,2140
Suzuki,7701,8070,28706,31431
Toyota,19095,17232,81604,76055
Vauxhall,43848,41175,212100,210357
Volkswagen,39263,37852,182441,168662
Volvo,7388,7230,32391,30784
Other British,98,63,567,624
Other Imports,351,157,1597,1115
